raw_filename,degraded_filename,restored_filename,degradation_type,predicted_problem,mse_degraded,mse_restored,mse_improvement,psnr_degraded,psnr_restored,psnr_improvement,ssim_degraded,ssim_restored,ssim_improvement,comparison_path
raw_0001.png,deg_0001_dark.png,res_0001_dark.png,dark,dark,2965.82958984375,781.9993286132812,2183.8302612304688,13.4093416708069,19.198739806720933,5.789398135914034,0.6913825869560242,0.9411541223526001,0.24977153539657593,comparisons\dark\cmp_0001_dark.png
raw_0001.png,deg_0001_low_contrast.png,res_0001_low_contrast.png,low_contrast,low_contrast,1400.1602783203125,1325.1287841796875,75.031494140625,16.669026080426253,16.90822273130417,0.23919665087791842,0.8629544377326965,0.9216185212135315,0.05866408348083496,comparisons\low_contrast\cmp_0001_low_contrast.png
raw_0001.png,deg_0001_blurry.png,res_0001_blurry.png,blurry,dark,80.8335952758789,1353.9422607421875,-1273.1086654663086,29.05488465308864,16.81480216737199,-12.240082485716648,0.8644746541976929,0.7914722561836243,-0.0730023980140686,comparisons\blurry\cmp_0001_blurry.png
raw_0001.png,deg_0001_noisy.png,res_0001_noisy.png,noisy,dark,583.948974609375,1816.923583984375,-1232.974609375,20.46705460696826,15.537436986957012,-4.92961762001125,0.3306179940700531,0.27972567081451416,-0.05089232325553894,comparisons\noisy\cmp_0001_noisy.png
raw_0001.png,deg_0001_color_shift.png,res_0001_color_shift.png,color_shift,dark,456.31671142578125,1662.529296875,-1206.2125854492188,21.538139868857318,15.923110537444716,-5.615029331412602,0.992997407913208,0.9206882119178772,-0.07230919599533081,comparisons\color_shift\cmp_0001_color_shift.png
raw_0002.png,deg_0002_dark.png,res_0002_dark.png,dark,dark,5166.091796875,1874.3031005859375,3291.7886962890625,10.999182419338124,15.402405372469017,4.403222953130893,0.6385588049888611,0.867291271686554,0.22873246669769287,comparisons\dark\cmp_0002_dark.png
raw_0002.png,deg_0002_low_contrast.png,res_0002_low_contrast.png,low_contrast,low_contrast,1656.9105224609375,905.4591064453125,751.451416015625,15.937813048630037,18.56211519962932,2.6243021509992843,0.7948768138885498,0.9494408369064331,0.1545640230178833,comparisons\low_contrast\cmp_0002_low_contrast.png
raw_0002.png,deg_0002_blurry.png,res_0002_blurry.png,blurry,blurry,241.3111572265625,220.2415313720703,21.069625854492188,24.30502958520213,24.70181142758119,0.39678184237905967,0.8026455640792847,0.8175775408744812,0.014931976795196533,comparisons\blurry\cmp_0002_blurry.png
raw_0002.png,deg_0002_noisy.png,res_0002_noisy.png,noisy,noisy,560.9135131835938,159.858154296875,401.05535888671875,20.64184457976642,26.093455665172364,5.451611085405943,0.5108691453933716,0.7833912968635559,0.2725221514701843,comparisons\noisy\cmp_0002_noisy.png
raw_0002.png,deg_0002_color_shift.png,res_0002_color_shift.png,color_shift,normal,612.0784301757812,612.0784301757812,0.0,20.262732857645588,20.262732857645588,0.0,0.9943113923072815,0.9943113923072815,0.0,comparisons\color_shift\cmp_0002_color_shift.png
raw_0003.png,deg_0003_dark.png,res_0003_dark.png,dark,dark,2530.5888671875,647.667724609375,1882.921142578125,14.09858767750478,20.017281055822753,5.918693378317974,0.6233128309249878,0.9020912647247314,0.27877843379974365,comparisons\dark\cmp_0003_dark.png
raw_0003.png,deg_0003_low_contrast.png,res_0003_low_contrast.png,low_contrast,low_contrast,1841.2969970703125,1575.48876953125,265.8082275390625,15.47956515989214,16.156650491039983,0.6770853311478433,0.723957359790802,0.8709321022033691,0.14697474241256714,comparisons\low_contrast\cmp_0003_low_contrast.png
raw_0003.png,deg_0003_blurry.png,res_0003_blurry.png,blurry,dark,361.1003723144531,1535.3111572265625,-1174.2107849121094,22.55452424659225,16.268839548840383,-6.2856846977518686,0.6333604454994202,0.5572469830513,-0.07611346244812012,comparisons\blurry\cmp_0003_blurry.png
raw_0003.png,deg_0003_noisy.png,res_0003_noisy.png,noisy,dark,540.5252685546875,1739.213134765625,-1198.6878662109375,20.802643596417532,15.727275542644374,-5.075368053773158,0.5705400705337524,0.48851191997528076,-0.08202815055847168,comparisons\noisy\cmp_0003_noisy.png
raw_0003.png,deg_0003_color_shift.png,res_0003_color_shift.png,color_shift,dark,369.8225402832031,1217.4560546875,-847.6335144042969,22.450869834598684,17.276270669986268,-5.174599164612417,0.9943799376487732,0.8895409107208252,-0.104839026927948,comparisons\color_shift\cmp_0003_color_shift.png
raw_0004.png,deg_0004_dark.png,res_0004_dark.png,dark,dark,2551.431640625,751.8285522460938,1799.6030883789062,14.062964239029936,19.369615459446763,5.306651220416827,0.6764991283416748,0.9138018488883972,0.2373027205467224,comparisons\dark\cmp_0004_dark.png
raw_0004.png,deg_0004_low_contrast.png,res_0004_low_contrast.png,low_contrast,low_contrast,2246.21484375,1549.0789794921875,697.1358642578125,14.616290679839851,16.230068001240518,1.6137773214006668,0.6254020929336548,0.7218270301818848,0.09642493724822998,comparisons\low_contrast\cmp_0004_low_contrast.png
raw_0004.png,deg_0004_blurry.png,res_0004_blurry.png,blurry,dark,112.75379180908203,1074.159423828125,-961.405632019043,27.609492051376826,17.82011617911628,-9.789375872260546,0.8769038915634155,0.7116526961326599,-0.16525119543075562,comparisons\blurry\cmp_0004_blurry.png
raw_0004.png,deg_0004_noisy.png,res_0004_noisy.png,noisy,dark,512.895751953125,1647.6876220703125,-1134.7918701171875,21.03051258820985,15.962054817048072,-5.068457771161777,0.3736518621444702,0.28818807005882263,-0.08546379208564758,comparisons\noisy\cmp_0004_noisy.png
raw_0004.png,deg_0004_color_shift.png,res_0004_color_shift.png,color_shift,dark,349.8770751953125,1189.992431640625,-840.1153564453125,22.691648734931547,17.375361615822417,-5.3162871191091305,0.9963655471801758,0.8212772607803345,-0.1750882863998413,comparisons\color_shift\cmp_0004_color_shift.png
raw_0005.png,deg_0005_dark.png,res_0005_dark.png,dark,dark,8650.5185546875,3408.117431640625,5242.401123046875,8.760382188725469,12.805658102677091,4.045275913951622,0.6850135922431946,0.8736671805381775,0.1886535882949829,comparisons\dark\cmp_0005_dark.png
raw_0005.png,deg_0005_low_contrast.png,res_0005_low_contrast.png,low_contrast,low_contrast,1322.8521728515625,595.9384765625,726.9136962890625,16.915690458579405,20.378789344642314,3.463098886062909,0.8945332169532776,0.9732226133346558,0.07868939638137817,comparisons\low_contrast\cmp_0005_low_contrast.png
raw_0005.png,deg_0005_blurry.png,res_0005_blurry.png,blurry,blurry,93.66963958740234,85.04816436767578,8.621475219726562,28.41481511669169,28.834154163889565,0.4193390471978766,0.8961839079856873,0.9041365385055542,0.007952630519866943,comparisons\blurry\cmp_0005_blurry.png
raw_0005.png,deg_0005_noisy.png,res_0005_noisy.png,noisy,noisy,584.3516235351562,120.12010192871094,464.2315216064453,20.464061058667212,27.33464668817341,6.870585629506198,0.3667524456977844,0.7276763916015625,0.3609239459037781,comparisons\noisy\cmp_0005_noisy.png
raw_0005.png,deg_0005_color_shift.png,res_0005_color_shift.png,color_shift,color_shift,960.1165771484375,65.35025787353516,894.7663192749023,18.30756392684083,29.978330552125193,11.670766625284362,0.9966562390327454,0.9973541498184204,0.0006979107856750488,comparisons\color_shift\cmp_0005_color_shift.png
raw_0006.png,deg_0006_dark.png,res_0006_dark.png,dark,dark,9605.6572265625,3572.169677734375,6033.487548828125,8.305532758862766,12.601482812131103,4.295950053268337,0.710504412651062,0.8818933367729187,0.1713889241218567,comparisons\dark\cmp_0006_dark.png
raw_0006.png,deg_0006_low_contrast.png,res_0006_low_contrast.png,low_contrast,low_contrast,969.807373046875,1165.2989501953125,-195.4915771484375,18.26394879313399,17.466430056647447,-0.7975187364865448,0.93819260597229,0.9610925316810608,0.022899925708770752,comparisons\low_contrast\cmp_0006_low_contrast.png
raw_0006.png,deg_0006_blurry.png,res_0006_blurry.png,blurry,low_contrast,51.2371711730957,611.9631958007812,-560.7260246276855,31.03495216723997,20.263550569270325,-10.771401597969646,0.8987655639648438,0.8739873170852661,-0.024778246879577637,comparisons\blurry\cmp_0006_blurry.png
raw_0006.png,deg_0006_noisy.png,res_0006_noisy.png,noisy,low_contrast,612.1522216796875,3000.312744140625,-2388.1605224609375,20.262209308542353,13.359138341564583,-6.90307096697777,0.2744905650615692,0.1084783673286438,-0.16601219773292542,comparisons\noisy\cmp_0006_noisy.png
raw_0006.png,deg_0006_color_shift.png,res_0006_color_shift.png,color_shift,low_contrast,1282.5438232421875,1882.737548828125,-600.1937255859375,17.050081474215986,15.3829057671941,-1.6671757070218867,0.9965528845787048,0.8932856917381287,-0.10326719284057617,comparisons\color_shift\cmp_0006_color_shift.png
raw_0007.png,deg_0007_dark.png,res_0007_dark.png,dark,dark,6414.71630859375,2376.34033203125,4038.3759765625,10.059029064448271,14.371717218067994,4.312688153619723,0.6757476925849915,0.8866101503372192,0.21086245775222778,comparisons\dark\cmp_0007_dark.png
raw_0007.png,deg_0007_low_contrast.png,res_0007_low_contrast.png,low_contrast,low_contrast,1624.769287109375,956.1844482421875,668.5848388671875,16.022886598292278,18.325386849859967,2.3025002515676896,0.7906607985496521,0.8813149333000183,0.09065413475036621,comparisons\low_contrast\cmp_0007_low_contrast.png
raw_0007.png,deg_0007_blurry.png,res_0007_blurry.png,blurry,blurry,94.87255096435547,88.34319305419922,6.52935791015625,28.359397826773556,28.669072686310926,0.3096748595373704,0.8168105483055115,0.8238763809204102,0.007065832614898682,comparisons\blurry\cmp_0007_blurry.png
raw_0007.png,deg_0007_noisy.png,res_0007_noisy.png,noisy,noisy,566.076416015625,135.2768096923828,430.7996063232422,20.6020529926654,26.818570083637624,6.216517090972225,0.3752111494541168,0.6696923971176147,0.2944812476634979,comparisons\noisy\cmp_0007_noisy.png
raw_0007.png,deg_0007_color_shift.png,res_0007_color_shift.png,color_shift,color_shift,805.9366455078125,18.01163673400879,787.9250087738037,19.067794575092055,35.57527181515854,16.507477240066482,0.9970160722732544,0.9970828890800476,6.681680679321289e-05,comparisons\color_shift\cmp_0007_color_shift.png
raw_0008.png,deg_0008_dark.png,res_0008_dark.png,dark,dark,5394.63671875,2120.074951171875,3274.561767578125,10.81118156771016,14.867291460217231,4.056109892507072,0.6808022260665894,0.9206278324127197,0.23982560634613037,comparisons\dark\cmp_0008_dark.png
raw_0008.png,deg_0008_low_contrast.png,res_0008_low_contrast.png,low_contrast,low_contrast,1943.4219970703125,1733.4752197265625,209.94677734375,15.245132467839646,15.741627231321635,0.49649476348198895,0.7890653014183044,0.8557577133178711,0.06669241189956665,comparisons\low_contrast\cmp_0008_low_contrast.png
raw_0008.png,deg_0008_blurry.png,res_0008_blurry.png,blurry,blurry,116.64659118652344,111.8811264038086,4.765464782714844,27.462083091270294,27.643235307292365,0.18115221602207043,0.782268226146698,0.7896255850791931,0.007357358932495117,comparisons\blurry\cmp_0008_blurry.png
raw_0008.png,deg_0008_noisy.png,res_0008_noisy.png,noisy,noisy,549.9823608398438,162.2473602294922,387.73500061035156,20.72731599942332,26.02902721325188,5.301711213828561,0.3743075430393219,0.6396101117134094,0.2653025686740875,comparisons\noisy\cmp_0008_noisy.png
raw_0008.png,deg_0008_color_shift.png,res_0008_color_shift.png,color_shift,color_shift,609.8110961914062,27.98661994934082,581.8244762420654,20.27885038295331,33.66129910632918,13.382448723375873,0.996804416179657,0.9970699548721313,0.00026553869247436523,comparisons\color_shift\cmp_0008_color_shift.png
raw_0009.png,deg_0009_dark.png,res_0009_dark.png,dark,dark,5275.73583984375,1909.4903564453125,3366.2454833984375,10.907973189083462,15.321628914830892,4.4136557257474305,0.656366765499115,0.878582775592804,0.22221601009368896,comparisons\dark\cmp_0009_dark.png
raw_0009.png,deg_0009_low_contrast.png,res_0009_low_contrast.png,low_contrast,low_contrast,1584.5089111328125,621.2599487304688,963.2489624023438,16.13185674902383,20.19807004367328,4.066213294649451,0.788969874382019,0.9329841732978821,0.14401429891586304,comparisons\low_contrast\cmp_0009_low_contrast.png
